 | Id   | Map                                                                                                                                     | Difficulty | 
 |-------------------------------------------------------------------------------------------------------------------------------------------------------------| 
 | 0    | Pure 100% x Kimani - She Don't Care [Insane]                                                                                            | 44.6834    | 
 | 1    | Pure 100% x Kimani - She Don't Care [testasd]                                                                                           | 28.04836   | 
 | 2    | m1dy - Thru the crowd 1.4x [walk]                                                                                                       | 50.51179   | 
 | 3    | P*Light - NINJA IS DEAD IIDX ver. [test]                                                                                                | 33.21679   | 
 | 4    | The Quick Brown Fox - Serious Shit [88MPH]                                                                                              | 54.99771   | 
 | 5    | The Quick Brown Fox - Serious Shit [ADVANCED]                                                                                           | 46.79538   | 
 | 6    | The Quick Brown Fox - Serious Shit [HYPER]                                                                                              | 53.748     | 
 | 7    | Camellia - illintelligence [mindless]                                                                                                   | 52.6487    | 
 | 8    | Himeringo - Yotsuya-san ni Yoroshiku [cheesiest's Light Insane]                                                                         | 8.303117   | 
 | 11   | Himeringo - Yotsuya-san ni Yoroshiku [Insane]                                                                                           | 26.93183   | 
 | 12   | Himeringo - Yotsuya-san ni Yoroshiku [Nyquill's Hard]                                                                                   | 14.98662   | 
 | 13   | Himeringo - Yotsuya-san ni Yoroshiku [Ono's Taiko Muzukashii]                                                                           | 18.37041   | 
 | 14   | Himeringo - Yotsuya-san ni Yoroshiku [Ono's Taiko Oni]                                                                                  | 17.16455   | 
 | 15   | Himeringo - Yotsuya-san ni Yoroshiku [Skystar's Extra]                                                                                  | 37.54248   | 
 | 16   | Himeringo - Yotsuya-san ni Yoroshiku [Winber1's Extreme]                                                                                | 46.31715   | 
 | 17   | Tamura Yukari - Fantastic future (TV Size) [4K HD]                                                                                      | 41.09622   | 
 | 18   | Tamura Yukari - Fantastic future (TV Size) [4K MX]                                                                                      | 49.24435   | 
 | 19   | Tamura Yukari - Fantastic future (TV Size) [4K NM]                                                                                      | 30.13409   | 
 | 20   | Tamura Yukari - Fantastic future (TV Size) [7K Liese's LV.24]                                                                           | 56.63674   | 
 | 21   | KOTOKO - unfinished (TV Size) [4K Accel]                                                                                                | 48.11118   | 
 | 22   | KOTOKO - unfinished (TV Size) [4K Normal]                                                                                               | 25.09338   | 
 | 23   | KOTOKO - unfinished (TV Size) [7K Burst]                                                                                                | 56.22565   | 
 | 24   | KOTOKO - unfinished (TV Size) [7K Hard]                                                                                                 | 53.98762   | 
 | 25   | KOTOKO - unfinished (TV Size) [7K Normal]                                                                                               | 49.59982   | 
 | 26   | Leon Lai - Zhong Ai Qing You (Speed up Version) [4K Fever]                                                                              | 47.21658   | 
 | 27   | Leon Lai - Zhong Ai Qing You (Speed up Version) [4K Hard]                                                                               | 41.48404   | 
 | 28   | Leon Lai - Zhong Ai Qing You (Speed up Version) [4K Normal]                                                                             | 35.38185   | 
 | 29   | Leon Lai - Zhong Ai Qing You (Speed up Version) [7K Hard]                                                                               | 57.92319   | 
 | 30   | Leon Lai - Zhong Ai Qing You (Speed up Version) [7K ProFever]                                                                           | 58.56131   | 
